iter	RMSE
0	78427.94056
1	76480.2772
2	74679.91274
3	72851.7355
4	71178.69913
5	69652.71947
6	68175.41671
7	66852.07471
8	65569.77545
9	64434.54705
10	63306.48302
11	62206.29138
12	61248.76621
13	60325.20277
14	59446.66408
15	58635.66909
16	57877.12028
17	57214.99145
18	56564.35301
19	56028.28209
20	55461.64467
21	54914.91162
22	54400.4507
23	53942.38853
24	53494.9687
25	53073.61385
26	52610.18372
27	52249.96875
28	51914.80304
29	51564.38634
30	51248.78876
31	50956.58396
32	50675.91331
33	50427.99824
34	50173.14613
35	49910.88864
36	49714.7753
37	49489.17038
38	49310.16748
39	49105.26056
40	48922.618
41	48747.88351
42	48617.63089
43	48489.23519
44	48352.30092
45	48217.13266
46	48084.82595
47	47973.60009
48	47869.7168
49	47722.6637
50	47614.75409
51	47511.9927
52	47412.16696
53	47325.16439
54	47242.47177
55	47138.1104
56	47047.44062
57	46920.78506
58	46822.87301
59	46742.76712
60	46656.45213
61	46565.97056
62	46479.26257
63	46384.96641
64	46314.42783
65	46234.81958
66	46146.95292
67	46063.03294
68	45966.60512
69	45902.35819
70	45820.34036
71	45755.15708
72	45683.27002
73	45598.98901
74	45533.04149
75	45453.50643
76	45407.25415
77	45344.73018
78	45281.58091
79	45209.3614
80	45158.74479
81	45082.95361
82	45034.96233
83	44985.43158
84	44911.49833
85	44862.2869
86	44816.03086
87	44740.16406
88	44686.19443
89	44625.51228
90	44584.30793
91	44524.46463
92	44471.60051
93	44426.50708
94	44382.02418
95	44339.49896
96	44301.84896
97	44259.52304
98	44172.95461
99	44132.04042
