iter	Passed	Remaining
0	16	1640
1	29	1435
2	36	1172
3	42	1027
4	49	937
5	55	870
6	60	805
7	65	754
8	70	713
9	75	679
10	80	651
11	85	626
12	90	604
13	95	584
14	100	568
15	105	551
16	109	537
17	114	523
18	119	510
19	122	488
20	126	477
21	131	467
22	136	457
23	141	447
24	146	439
25	151	430
26	156	422
27	162	418
28	167	410
29	172	402
30	177	394
31	182	387
32	187	379
33	192	372
34	196	365
35	201	358
36	206	352
37	211	345
38	216	338
39	221	332
40	226	325
41	231	319
42	236	313
43	241	306
44	246	300
45	250	294
46	255	288
47	260	282
48	266	277
49	271	271
50	276	265
51	281	259
52	285	253
53	290	247
54	295	242
55	300	236
56	305	230
57	310	225
58	315	219
59	320	213
60	325	208
61	330	202
62	335	196
63	340	191
64	345	185
65	349	180
66	354	174
67	359	169
68	364	163
69	369	158
70	374	152
71	379	147
72	384	142
73	389	136
74	393	131
75	398	125
76	403	120
77	408	115
78	413	109
79	420	105
80	425	99
81	431	94
82	436	89
83	442	84
84	448	79
85	452	73
86	457	68
87	462	63
88	467	57
89	472	52
90	477	47
91	482	41
92	486	36
93	491	31
94	496	26
95	501	20
96	506	15
97	511	10
98	516	5
99	521	0
